{'trials': 20, 'sleeptime': 0.9, 'target_freq': 125, 'theoretical_target_freq': 137.12724434345407}
freq,A,A_std,phi,phi_std
122.09490428857674,4.3755890746136746e-06,1.4600432358691384e-07,0.2020145637986845,0.3927604256253496
122.13419072197419,4.394279053947398e-06,1.3618674605833763e-07,0.1377270159894488,0.42335026393250547
122.17348979655317,4.507114089214849e-06,1.4112008836466254e-07,0.09360045254834941,0.4234395925161138
122.21280151638122,4.601220258658191e-06,1.3624832683623154e-07,0.5282088125476045,0.40207981814598237
122.25212588552735,4.71532835943089e-06,1.4224599515395536e-07,0.20907141153144976,0.41108362890480166
122.29146290806145,4.849801170325322e-06,1.44815159481173e-07,0.22248953270756688,0.38049785352428267
122.33081258805512,4.059130932247744e-06,4.2474153828865414e-08,-2.5176733105524556,0.08247947726627991
122.37017492958117,5.067799144213802e-06,1.4422843580685447e-07,0.32704484732689804,0.4070368270858651
122.40954993671367,5.112997596369266e-06,1.5321644486185302e-07,0.22762587456021227,0.3805640044356768
122.44893761352805,5.555451072891384e-06,1.6958970733950536e-07,0.33155996092416185,0.40285424899008637
122.488337964101,5.660550577783978e-06,1.5869265205885882e-07,0.4763903313802387,0.4136407098251183
122.52775099251059,5.7005589123251295e-06,1.5477856555584912e-07,0.4221098488772883,0.40600177099866763
122.56717670283614,5.543442413872592e-06,1.6429717040752932e-07,-0.13505484456096906,0.42655195092614584
122.6066150991583,6.353809605303442e-06,1.2172787264092532e-07,0.27147129922102475,0.3894085025715061
122.64606618555905,6.417381201651271e-06,1.8469143357136176e-07,-0.19466736129102122,0.39983241750912096
122.68552996612166,6.872142386433822e-06,1.9800997709454458e-07,-0.05451369845264753,0.3981879542499062
122.72500644493087,7.043952401994868e-06,1.9290341604423809e-07,-0.20426517389052562,0.39540606723968563
122.76449562607233,7.013029139496624e-06,1.8611787777793354e-07,-0.25839659556460504,0.406607824863467
122.80399751363338,7.481391951936595e-06,2.0348826274484978e-07,0.23665341862337597,0.4599069686555171
122.84351211170258,7.29184223969192e-06,1.3922315745678514e-07,0.3169783293003744,0.26563079588403193
122.88303942436977,7.647320208012705e-06,2.0562327642080497e-07,-0.6106284641439297,0.3805564401317587
122.92257945572612,8.259902433297033e-06,2.0101452589474068e-07,0.25427707735696037,0.38485883246220093
122.96213220986414,8.680104840628829e-06,2.0115664986422693e-07,0.11888069135159877,0.39758765457185036
123.0016976908776,8.813626729305984e-06,2.112000090510324e-07,-0.16809426723926363,0.4019943044373715
123.04127590286166,9.066944420036315e-06,1.9602536621217637e-07,0.4871499610398201,0.37770303005002004
123.08086684991272,1.0125109002255619e-05,1.850395488054166e-07,0.16480602667603952,0.3565291608243958
123.12047053612858,1.0104839158998544e-05,2.1670551109392508e-07,0.306513843278332,0.39115354146016545
123.16008696560829,1.0445682201064197e-05,2.1741071206021706e-07,0.13778470771157397,0.4002104431245177
123.19971614245225,1.1007598953093469e-05,2.4769086457271156e-07,0.05595488643360454,0.4072135482080687
123.23935807076231,1.1067627957826355e-05,2.384440591774505e-07,-0.08655427622018401,0.41381856611418655
123.27901275464123,1.1462051439093268e-05,2.321370077755782e-07,0.005046401505631753,0.3881933796337372
123.31868019819352,1.1668967538745068e-05,2.5317450303238176e-07,0.14229353426911384,0.4414663632069343
123.35836040552483,1.1336180923288027e-05,8.58784240891279e-08,0.987249071294942,0.05644005019191627
123.39805338074217,1.3008751754876073e-05,2.501252466274291e-07,0.5255985114926884,0.39125031332496557
123.43775912795385,1.3528129405999061e-05,2.683947442241975e-07,-0.19611515149128056,0.4124601195588886
123.47747765126954,1.3920064350610289e-05,2.5019327277812184e-07,0.28125499648505653,0.38668072601058817
123.51720895480015,1.4059489590584645e-05,2.539933515116016e-07,0.2948894874450924,0.4018177737541743
123.55695304265801,1.5170488858165109e-05,2.7152511893822025e-07,0.32555273467286566,0.39015879339967297
123.5967099189567,1.587815571361783e-05,2.6588730075967665e-07,0.1844743679098959,0.39750793724252537
123.63647958781118,1.620953124390293e-05,3.1109458794189585e-07,-0.08025557098266471,0.4327277882793258
123.67626205333768,1.7353567020637774e-05,2.90997135744763e-07,0.1410085074034403,0.3917286436002633
123.71605731965391,1.821431922730463e-05,3.0834843001391696e-07,0.03465211824899111,0.4140144115466171
123.75586539087854,1.8874840150509552e-05,2.5914853778406883e-07,0.3511406659483019,0.37762177051703494
123.79568627113191,1.9446494559558226e-05,3.510412614688104e-07,0.111082075809487,0.3900236775249122
123.83551996453559,2.06943323756895e-05,3.4516173922448073e-07,0.2182482091157089,0.4044379649335113
123.87536647521245,2.146045160787613e-05,1.8614735910119242e-07,0.24392332618472987,0.09992149141150139
123.9152258072867,2.3674321936609025e-05,3.399434395449277e-07,0.07735456343310537,0.4325199696287005
123.9550979648839,2.5092357531568953e-05,3.3063147974105267e-07,-0.030040824104254415,0.39741441181358717
123.99498295213088,2.6308723647766472e-05,3.4032594857381627e-07,0.2538039280504335,0.4257055725470545
124.03488077315586,2.7012050755024476e-05,3.703200648075611e-07,0.2819538070267741,0.39080190629003786
124.07479143208833,2.8637061431443114e-05,3.5029184773220754e-07,0.03718211533989346,0.4088049642251005
124.11471493305918,3.0263984886454213e-05,4.894687830940048e-07,0.5881958761825741,0.38177212008328826
124.15465128020054,3.153151115199733e-05,3.148257034827296e-07,0.05976771389676065,0.4109937929051966
124.19460047764608,3.323066448800319e-05,3.5105645455999563e-07,0.0869294113256501,0.3965617890924567
124.23456252953038,3.412405486423486e-05,3.417330553728011e-07,0.364612137445647,0.3990596752885725
124.27453743998971,3.614215501561211e-05,2.992808737176851e-07,0.26965758773480997,0.4083247479394722
124.3145252131616,3.92387741730362e-05,3.8738555713057125e-07,-0.30713099439826774,0.3828349538444459
124.35452585318487,4.109527275434812e-05,3.4051851974102435e-07,0.33146541673632834,0.4286995194678108
124.39453936419967,4.502970732217996e-05,3.25285142514435e-07,0.014673992869276852,0.32623517365058785
124.43456575034752,4.562634253721238e-05,3.410638999487094e-07,0.12497786344557835,0.4184768470752136
124.47460501577122,4.591285569738241e-05,3.2812396371949634e-07,-0.041695437889372064,0.40117389571751805
124.51465716461493,4.680286075415639e-05,3.6686852052522626e-07,0.12505896778532255,0.40571863620930343
124.55472220102416,4.8984648489945774e-05,3.669442952583571e-07,-0.017945480896086774,0.4065216647972659
124.59480012914574,5.0748746304479135e-05,3.177261811383205e-07,-0.020392175371123276,0.403325627107379
124.63489095312782,5.399761213121916e-05,2.870003594434197e-07,0.0732743360869575,0.3939058207093211
124.6749946771199,5.451606409935291e-05,2.6924710910650174e-07,-0.18032728604742335,0.397859424963836
124.71511130527294,5.5217289982013774e-05,1.0274654305634775e-07,-0.19181240007627165,0.352343212724532
124.75524084173885,5.869285943723438e-05,4.0997719942984167e-07,-0.10399461397741701,0.39530934772702603
124.79538329067127,5.990842844667771e-05,2.2950501620843972e-07,0.2755006173377077,0.38261093047061273
124.83553865622501,6.114848146000143e-05,1.8615720988748473e-07,0.2908386168809148,0.40155977202262755
124.87570694255628,6.319612625722094e-05,1.6186430758313367e-07,0.18832489793904816,0.4168986190892439
124.91588815382258,6.382565674910384e-05,1.3645796890934443e-07,0.2725341843532892,0.4088329075400803
124.95608229418276,6.523230803870708e-05,1.6731152728256001e-07,0.083312912191013,0.42299538452279783
124.99628936779703,6.51838027619777e-05,7.956364986207585e-08,1.087474617312201,0.12579045572792416
125.03650937882689,6.53300985855228e-05,1.1392844374267791e-07,-0.19679425956591462,0.41092659256816083
125.07674233143521,6.438041885388862e-05,1.6214086435294476e-07,-0.06719005909164855,0.40599705683869153
125.11698822978622,6.316145565625012e-05,2.505762741711819e-07,0.29354910504662374,0.393811469071676
125.15724707804546,6.346776864786913e-05,1.684440352994847e-07,0.008324686220189314,0.383970002406505
125.19751888037992,6.243809468234375e-05,2.4143657952752164e-07,-0.2119218063072074,0.38956079087015383
125.2378036409576,6.112055657436851e-05,2.1365147313076638e-07,-0.022898830278051913,0.385579737283372
125.27810136394818,6.036945395950252e-05,2.862606881414454e-07,-0.07743177613524828,0.39446906345716615
125.3184120535226,5.885031105271582e-05,2.4255298375770414e-07,-0.06855047149609167,0.39512147080021065
125.35873571385306,5.875527224824133e-05,7.999469827525987e-08,-0.2405852047097805,0.35197103773069494
125.39907234911321,5.530545813144218e-05,3.438150572107484e-07,-0.3044269268525298,0.40279213951754855
125.43942196347797,5.156080189361972e-05,4.6159143660280144e-07,0.04122228610145344,0.4054306457693633
125.47978456112361,4.989279156840731e-05,3.7254862175720946e-07,-0.08990631214912821,0.39913262230698454
125.52016014622777,4.735928766605262e-05,3.8391058620963145e-07,-0.20889598708228035,0.37349028518279276
125.5605487229694,4.542381893602296e-05,4.00362227701458e-07,0.2281745326072866,0.41399427758100493
125.60095029552883,4.4880474744574304e-05,3.840320104905148e-07,-1.8948758438772124,0.10532603910405881
125.64136486808772,4.162775102891418e-05,3.9683713754730747e-07,-0.382062969718499,0.39444256426613067
125.68179244482909,3.988450659815877e-05,4.3095147182894e-07,0.20623573188842154,0.4238444109243143
125.72223302993737,3.775399890167734e-05,2.9901437525203885e-07,-0.6087088475286362,0.38381700725562723
125.76268662759806,3.5012527117070265e-05,4.346015345359205e-07,-0.1697146895075869,0.3865928751756176
125.80315324199829,3.414513493312634e-05,3.938915078162349e-07,0.02057236089012724,0.4039234034603382
125.84363287732647,3.378068098272023e-05,1.5065977294620724e-07,-0.3087918085144665,0.3514399992569766
125.88412553777233,2.9982726249648875e-05,4.2277367696063226e-07,0.1400393603708568,0.41885225467612475
125.92463122752699,2.7726726691395198e-05,3.827369841466304e-07,-0.17693396453221927,0.38868888074135194
125.96514995078283,2.7115372858661454e-05,3.5169622799838146e-07,-0.1259344330546523,0.41441454251826826
126.00568171173369,2.5323537965249518e-05,3.8174270933222587e-07,-0.0867816258679203,0.4145776006330021
126.04622651457466,2.3293132664430774e-05,3.451065543588052e-07,-0.16443539287248013,0.41245510050621387
126.08678436350225,2.226085580073422e-05,3.309209889775434e-07,-0.761635673769569,0.24176921987803168
