{'trials': 20, 'sleeptime': 0.9, 'target_voltage': 0.6666666666666666, 'current_temp': 73.80723177, 'current_temp_err': 0.0, 'current_temp_gradient': 0.0, 'loops_to_stabilize_temperature': 0}
freq,A,A_std,phi,phi_std
115.0,3.285479645764554e-07,3.376850231552196e-08,0.4178207441507652,0.31032400166341395
115.08422902596917,3.7600805165951644e-07,3.4090280936957955e-08,0.6619921184046903,0.25614522587195465
115.16851974349333,4.1035792710356966e-07,3.229270170120592e-08,0.8105081931067467,0.2922157648724351
115.25287219775682,4.5019562950130366e-07,2.6994346795139293e-08,0.5899515878503598,0.3200288348718417
115.33728643397747,4.0793272429006956e-07,3.7560546091132694e-08,0.5743975818811569,0.3340853771038366
115.42176249740578,3.9066991122307273e-07,4.394713896544146e-08,0.6185457995893684,0.294822108657827
115.50630043332588,4.1484696249717957e-07,4.199821288273089e-08,0.9344345812295455,0.2918786980601349
115.59090028705454,4.641477290297093e-07,3.283815283824861e-08,0.4796940251466574,0.32717212688343017
115.67556210394214,4.837278721649657e-07,3.6747343911332275e-08,0.8362680189598853,0.3379815080204327
115.76028592937223,4.052100439382954e-07,4.267892939819642e-08,0.34155422706135413,0.27331481534045693
115.84507180876126,4.380923732401397e-07,4.518023489802934e-08,0.8879541666382957,0.3171818599780937
115.92991978755943,4.752457702198895e-07,3.6066922441555784e-08,0.5112239875379428,0.3128271156017295
116.01482991124973,4.824849083843304e-07,4.218015717216106e-08,0.6507595276174116,0.34881153353292565
116.09980222534898,5.815621006845581e-07,3.00295879486916e-08,0.8492278642690234,0.32246287732006135
116.1848367754068,5.096730332063728e-07,5.465043422618691e-08,0.7915670795429988,0.3042605752129619
116.26993360700658,4.83576561923947e-07,5.3398833675378634e-08,0.47427299510941767,0.3134494806612267
116.35509276576508,5.181417542327126e-07,4.13244010970803e-08,0.8636666316141275,0.32173970137198105
116.44031429733211,5.031162871541801e-07,4.582521227457245e-08,0.5252427266352244,0.35093516080952003
116.52559824739139,5.318865299053694e-07,4.539918463211901e-08,0.6397547056738409,0.35976310960304414
116.61094466165963,6.483577654333042e-07,2.4881929187999728e-08,1.0500600470740558,0.3267419147428782
116.69635358588738,5.441403170606364e-07,4.881665461148989e-08,0.9214444026822086,0.3129040689180963
116.7818250658587,5.832738100218564e-07,5.027010172189202e-08,0.4612860868378599,0.32992736494721087
116.86735914739083,5.608524059429531e-07,5.0470079625457794e-08,0.5728976058232865,0.2964897395374379
116.95295587633503,5.717059882895809e-07,5.298691487236903e-08,0.5512706138703612,0.36403839931622783
117.03861529857568,6.229732018917779e-07,4.056130528268678e-08,0.8312097233978166,0.32789442928936025
117.12433746003123,6.429565229023741e-07,4.885279401287542e-08,0.4399584179989707,0.37621101576966565
117.2101224066533,5.952832325394538e-07,5.5232632137794484e-08,0.43997736289461126,0.3517260765658785
117.29597018442752,6.30722937352384e-07,5.4112649305675576e-08,0.6190418013510082,0.3381456185877587
117.38188083937318,6.37135046561306e-07,4.290042682964968e-08,0.5967770994845335,0.3623288115580134
117.46785441754297,5.813451623546054e-07,5.25179979658866e-08,0.024475859243400983,0.3449175055146363
117.55389096502373,6.658028118248795e-07,6.172787691395361e-08,0.4886789571249187,0.34340959760874684
117.6399905279356,7.114661712872817e-07,5.18125887761925e-08,0.8421415605499479,0.38717061605482567
117.72615315243297,6.753840475392781e-07,5.878196506134432e-08,0.7703117235748438,0.34175967721065165
117.8123788847036,7.325967439857567e-07,5.381775297309778e-08,0.7167025021649877,0.3814653213132715
117.89866777096938,7.495784183703831e-07,4.9564198123925556e-08,0.8118172544945766,0.3481079393823674
117.98501985748608,8.170136248860311e-07,4.4854618909643887e-08,2.114940459153854,0.15283298083040708
118.071435190543,8.107780906565656e-07,5.27441407699917e-08,0.9777170118257261,0.3239769931145905
118.15791381646378,8.08910421608102e-07,5.045489560677061e-08,0.8974401352316759,0.3339560072247799
118.24445578160557,7.61049546497587e-07,6.110588669507111e-08,0.35985805839438084,0.39030760527001684
118.33106113235989,8.818015991425453e-07,5.9076619634864814e-08,0.7850053861491996,0.3418395818742799
118.41772991515182,8.983458065649113e-07,4.961089186219036e-08,0.5273217111619302,0.3558219905509074
118.50446217644077,9.157886247851135e-07,6.376958315458509e-08,0.29034676910825874,0.33054541936102605
118.59125796272018,9.258192889321938e-07,6.855058141295628e-08,0.5826007429760189,0.33631028587518536
118.67811732051716,9.314166667786745e-07,7.720524361949241e-08,0.5273123297275346,0.3381629506348415
118.76504029639344,1.0590950129428233e-06,6.075267630304052e-08,0.5617020200062169,0.3827959257006235
118.8520269369443,1.0465711641745511e-06,6.677903799783454e-08,0.35624601751316637,0.41192033854746163
118.9390772887997,1.0635563323200125e-06,7.01241498993046e-08,0.2839301012180345,0.3775997147198866
119.02619139862318,1.049053601709407e-06,7.680707673792878e-08,0.44184651278717696,0.38325889028024307
119.11336931311294,1.1311134870873998e-06,7.113623525636683e-08,0.5488851352502712,0.33631528833059104
119.20061107900128,1.1351161806950866e-06,7.644810538012044e-08,0.508316209559918,0.39907292239345377
119.2879167430544,1.2285128135069462e-06,6.628773153806325e-08,0.5072421965045877,0.374669023706352
119.37528635207325,1.2571927263996167e-06,8.010663165053743e-08,0.5245271597601069,0.43236306183778883
119.46271995289257,1.2999994398740923e-06,7.057848692308675e-08,0.2932112136431188,0.40650639521864484
119.55021759238186,1.2871724919415296e-06,6.483131033267547e-08,0.0731363516550707,0.17584523506267413
119.6377793174445,1.3650510788920638e-06,8.336982428181459e-08,0.18107817096763013,0.40260512047293084
119.72540517501858,1.4316119714253635e-06,7.877568256498436e-08,0.0631198971546821,0.4176721409942004
119.81309521207653,1.600552706662043e-06,9.222419237835797e-08,0.5941473477325234,0.37883546859917155
119.90084947562488,1.4655953019720232e-06,6.956306880721039e-08,0.581183210418333,0.39189862618349725
119.98866801270503,1.6564823266332668e-06,8.953108442089772e-08,-0.09165400756979092,0.4124856589832749
120.07655087039237,1.7085998341048458e-06,8.498135292430132e-08,0.1414853879564975,0.4172804711581007
120.1644980957971,1.7293702303841173e-06,8.664687134028105e-08,0.4921018920172573,0.3846614891750932
120.252509736064,1.7983299739384032e-06,9.826858725826444e-08,0.41750857468899927,0.3882243446219731
120.34058583837192,1.873429098701818e-06,9.880875774375783e-08,0.40497102290076087,0.3973009904541721
120.42872644993484,1.9704618225432427e-06,8.941621941783312e-08,0.44650769807680274,0.40941329426227363
120.51693161800075,2.025161545140675e-06,8.838006451780656e-08,0.5590012416527175,0.37003639546742
120.60520138985281,2.1023641951776116e-06,9.697030237015673e-08,0.24799850374271956,0.41028359120905045
120.69353581280828,2.4436119958514292e-06,3.260399801480822e-08,-0.4478575277263447,0.025557652133676837
120.78193493421944,2.251225622306172e-06,9.662639325572183e-08,0.7085632522411143,0.3480635557088926
120.87039880147326,2.2612289292447157e-06,8.180578510924427e-08,0.47640617266344104,0.39487074997379634
120.95892746199107,2.3778192334717746e-06,9.80052786669418e-08,0.25230024565083775,0.3827076207590301
121.0475209632294,2.4908018887436475e-06,9.884481550164335e-08,-0.26282618407202685,0.411136312673143
121.13617935267906,2.6133062957613696e-06,1.1643242772827228e-07,0.04058630397127048,0.39415835672485294
121.22490267786613,2.9914489347850976e-06,4.820957922088856e-08,2.6995765941061305,0.025520318997748606
121.31369098635099,2.9120783316104006e-06,1.207113893891503e-07,0.03719545575247747,0.413976509136346
121.40254432572925,3.1255001366983258e-06,1.345360352282516e-07,0.1928053778860133,0.3771157830591752
121.49146274363137,3.580625177502037e-06,9.463702717184981e-08,0.8629902882615731,0.36518283207436075
121.58044628772234,3.410906697809374e-06,1.46793306870435e-07,0.1082175775913233,0.3784583229985567
121.66949500570253,3.7225127412613587e-06,1.2268331001950516e-07,0.059072317017463925,0.390385376293943
121.75860894530675,3.925232434016711e-06,1.2296856080788283e-07,0.14317811395639196,0.38070522208228635
121.8477881543053,3.979419474499307e-06,1.4876082245935148e-07,0.10782261415775482,0.38373064615923164
121.93703268050295,4.2299407070389765e-06,1.3499566936287396e-07,0.2714902278026172,0.40448610333349666
122.02634257173987,4.018416996825644e-06,1.2581232841473993e-07,0.06861800565875947,0.40879483057695143
122.11571787589124,4.686646187085127e-06,1.494318435074076e-07,0.0880594371823158,0.38437141469837727
122.20515864086696,5.04875874723875e-06,1.4372893100906936e-07,0.49150511228881905,0.39544217544337723
122.2946649146125,5.08518990256596e-06,1.6940611778226704e-07,-0.01968593931157467,0.4237353783183007
122.38423674510797,5.612137680215345e-06,1.6884321992711515e-07,0.1967267450125036,0.378178548098046
122.4738741803691,5.715111482317569e-06,1.363819534766039e-07,0.3559973131639821,0.38488703752672015
122.5635772684463,6.042992283968304e-06,1.5548219446282654e-07,0.28274318433891465,0.39755957402786934
122.65334605742555,6.560957881873977e-06,1.7579557336232108e-07,-0.012501173503415342,0.4167665345630744
122.74318059542803,7.1015699977518275e-06,2.0108500280119283e-07,-0.14493434098407038,0.4137242583372596
122.83308093060982,7.63253998505969e-06,1.913221597809588e-07,-0.1062391250290898,0.38884708566013276
122.92304711116275,8.338745577908721e-06,1.9284996589417688e-07,0.2782413528543518,0.39695890249715265
