{'trials': 20, 'sleeptime': 0.9, 'target_temp': 46.66666666666667, 'current_temp': 61.642358442, 'current_temp_err': 0.0010161204582844893}
freq,A,A_std,phi,phi_std
264.25448868690813,1.640980894488395e-07,1.687722879983658e-08,0.4501738950394575,0.2073288136539803
264.3425366734941,1.955373635677375e-07,2.3200365782653566e-08,0.4139536346420318,0.2958677338837895
264.430613997133,1.878768099158165e-07,2.4573669135739722e-08,0.03316787817120603,0.1373004084400106
264.5187206675997,2.0081616478010403e-07,2.1415961294102702e-08,0.1360766895345069,0.25239460197806535
264.6068566946727,1.6676385801947563e-07,2.0542414242805263e-08,0.0655142140194166,0.12097323919736974
264.6950220881331,1.4899013543807996e-07,2.171052687308922e-08,-0.19100889412489414,0.23144512964356748
264.78321685776586,1.671652177493084e-07,2.5427140986381366e-08,0.05445663246200176,0.18118077036235572
264.8714410133588,1.7705241949718274e-07,2.5765714379960056e-08,0.34413177078174995,0.19000140142741848
264.95969456470294,2.0156931294421393e-07,2.849983515671409e-08,0.11961009657611095,0.3153382617714113
265.0479775215932,1.5123136749415645e-07,2.1510547977500927e-08,0.2838820321787308,0.20875019418377377
265.13628989382727,1.3479099390606697e-07,1.8140270066642636e-08,-0.13406011810294965,0.19071650403330517
265.22463169120596,1.5396517714721236e-07,1.8431934551244894e-08,-0.012919528794419488,0.16904514621073802
265.31300292353365,1.547608526510654e-07,2.5543177647578638e-08,0.12074751564540338,0.17911870094654367
265.40140360061787,1.6494924412965662e-07,1.8257528393863907e-08,0.27661366097700896,0.25829846569246107
265.4898337322694,1.8166996424813763e-07,2.1932879530604705e-08,0.04793492517694785,0.21317076116552047
265.5782933283023,1.8277690484920103e-07,2.3417518072744285e-08,0.056971344687344105,0.23335395876895212
265.66678239853405,1.6294909916157924e-07,2.1444802496677145e-08,0.12801897352256716,0.22566238695048169
265.75530095278515,1.5751373047582038e-07,1.912383945706328e-08,-0.06745076788861488,0.13759273525571128
265.8438490008796,1.999193120065977e-07,2.110363557163627e-08,0.4273214044181257,0.2221036890770009
265.9324265526444,1.9271793722800917e-07,2.148813238811263e-08,0.08397248236805181,0.23933053815444558
266.0210336179102,1.9634483935239766e-07,2.6051587340967486e-08,0.2963136685413958,0.2741130822256593
266.10967020651054,1.832068000083508e-07,2.297854263296537e-08,-0.025298193225192188,0.2501175201796308
266.1983363282825,1.8820626065919556e-07,2.7571183732914807e-08,0.07312428808775451,0.29640700007100096
266.28703199306636,1.8575935509341456e-07,2.6094503248077663e-08,0.41626267697647706,0.2950146225161694
266.37575721070544,1.70852054088419e-07,2.9419020729595962e-08,0.4675631693484804,0.34746855263834453
266.464511991047,1.522326905663665e-07,2.8896546439777976e-08,0.3383413610760424,0.3164137552884007
266.553296343941,1.8676460119302115e-07,2.4232193195428828e-08,-0.0016808922752896583,0.2143558421895208
266.6421102792407,1.9478358256300546e-07,2.5059285668111965e-08,-0.05090347335985403,0.24471391428391787
266.7309538068029,2.1245623199031744e-07,2.3965964917436995e-08,0.37732965420027303,0.26657846915159517
