{'trials': 20, 'sleeptime': 0.9, 'target_freq': 4812.478834467755, 'theoretical_target_freq': 4812.478834467755}
freq,A,A_std,phi,phi_std
4808.399816820515,1.594550226399539e-07,1.2647323343086848e-08,0.2385572401550206,0.07060587437903809
4808.500235341055,1.6590792762539024e-07,1.4097091102508119e-08,0.27875952167578977,0.07183579921542563
4808.600655958732,1.622160389346092e-07,1.4249485451000224e-08,0.05103750842178216,0.05797040635588195
4808.701078673592,1.770777674867927e-07,1.6610936550798965e-08,0.13792135016820936,0.06778222532038991
4808.801503485673,1.556090716981272e-07,1.3296271667740364e-08,0.23146238742481243,0.06450479944948907
4808.901930395028,1.5956082958733577e-07,1.1811734972901279e-08,0.2847591351816009,0.07268691014280017
4809.002359401697,1.5707356603640424e-07,1.492128488536986e-08,0.1923553451284403,0.06644530252668424
4809.102790505723,1.6896545871505574e-07,1.612556008517346e-08,0.31460760937013266,0.09523327185274895
4809.20322370715,1.467144848583782e-07,1.2449618332986566e-08,0.15014764582278176,0.0653274983776605
4809.303659006017,1.767835378332714e-07,1.4137858308726054e-08,0.30463891953831856,0.06724621466322872
4809.404096402378,1.6385543192456193e-07,1.2799213704003921e-08,0.10121716346051904,0.04354093768995371
4809.504535896271,1.777303956430295e-07,1.4425509461665802e-08,0.22818242883326048,0.08730769382085599
4809.60497748774,1.4114360609490216e-07,9.883021953145425e-09,0.17938491012665983,0.06876311267772904
4809.7054211768245,1.8807119861601106e-07,1.6400036968154853e-08,0.1396099686275213,0.0667771486584893
4809.805866963578,1.6463070884165406e-07,1.254338412529594e-08,0.13045442776439714,0.06291178528717682
4809.906314848039,1.4429621784929096e-07,1.1572816239770576e-08,0.2063821847153564,0.054581489992109676
4810.006764830252,1.3352157211221297e-07,1.1284923084990662e-08,0.12974019063502729,0.0587465448033144
4810.10721691026,1.3773682390708677e-07,1.1518609594886365e-08,0.2480549484739106,0.08125148463384295
4810.207671088102,1.2817500409500534e-07,7.31836158318705e-09,0.17938491012665983,0.08406380115285679
4810.308127363832,1.397654792734117e-07,1.138114845583149e-08,0.19306958225781015,0.07077603278444779
4810.4085857374885,1.5788533607709028e-07,1.3128634071799405e-08,0.2261454411251771,0.04624444597958571
4810.509046209116,1.6324439735521498e-07,1.6920795980291036e-08,0.1054504993924904,0.05699268523144048
4810.609508778752,1.6759562521127183e-07,1.5061053100701324e-08,0.17266212707005568,0.0906271495800359
4810.709973446452,1.6753298909171107e-07,8.463739025976065e-09,0.11780972450961724,0.07536641710748547
4810.8104402122535,1.5636791684117058e-07,1.0121942952696292e-08,0.21243706856919417,0.07732518549930302
4810.910909076201,1.5810629039031913e-07,1.4146379287669468e-08,0.2144977567021102,0.0900124722444272
4811.011380038339,1.3741999929359853e-07,8.633492323930608e-09,0.2560269042069889,0.06175056873820439
4811.111853098704,1.7752208261641968e-07,1.518372514162625e-08,0.2583204965648413,0.10777460192719372
4811.212328257352,1.5990739760454344e-07,1.3792433054654369e-08,0.19584450752009597,0.06767022762826265
4811.312805514322,1.4728191104746048e-07,1.2615543345825288e-08,0.17522784853223777,0.06922544238901168
4811.413284869655,1.4532266889661722e-07,1.2260346456695573e-08,0.1690100988048997,0.06761831300023492
4811.513766323398,1.6662684992627156e-07,1.2470952015880256e-08,0.11348979704169489,0.04056174571993276
4811.614249875589,1.6185997850837813e-07,1.5892368227025452e-08,0.2406179282879366,0.04968174024819884
4811.7147355262805,1.7518404769340293e-07,1.3803168900211853e-08,0.2351144156899684,0.07744660624551604
4811.815223275512,1.662035762665596e-07,1.2750237715834758e-08,0.28388203217873076,0.0858616349943833
4811.915713123328,1.670578935681702e-07,1.1654741946019017e-08,0.05900946415486049,0.05617212389480941
4812.016205069767,1.4531597940539887e-07,1.2264310273002879e-08,0.13040808983779367,0.0652986507291406
4812.116699114882,1.2916162018939172e-07,1.1868605373107894e-08,0.15707963267948966,0.07191487159851846
4812.217195258713,1.7176392519718074e-07,1.695162824164289e-08,0.20479084458311644,0.059897388515535915
4812.317693501304,1.68141400883385e-07,1.5974149913176604e-08,0.19767498786338553,0.08619400800114811
4812.418193842697,1.8193192101697864e-07,1.504289884808083e-08,0.12262433391529634,0.06217998807310342
4812.518696282933,1.6246670835197694e-07,1.617029479829242e-08,0.19029465699552428,0.07882661007536085
4812.619200822064,1.7084749802593877e-07,1.074972655065431e-08,0.2760729423191528,0.05361030222168642
