{'trials': 8, 'sleeptime': 0.9, 'target_freq': 2300, 'theoretical_target_freq': 2406.2394172338777}
freq,A,A_std,phi,phi_std
2293.0,6.511168258792699e-07,2.428460807854333e-07,-0.615609453100966,0.4589691579990522
2293.4813413553256,2.510469045134464e-07,6.022672721543611e-09,0.317936172932113,0.06551304230050986
2293.9627837527364,2.0263217787187615e-07,2.0003375328804304e-08,0.30337474034528167,0.0688572570509828
2294.444327213443,1.5820382153420924e-07,1.4202202033438462e-08,0.17041251254496176,0.05959640245458487
2294.925971758662,1.649076928975345e-07,1.4239825882384317e-08,0.21063133184454202,0.06874982633007633
2295.407717409608,2.2401301874464423e-07,2.1072099364932373e-08,0.4110906578062956,0.09160559223441916
2295.889564187508,1.8133894592825715e-07,1.80155303691407e-08,0.579452136139364,0.11345403060067685
2296.3715121135892,2.072866429304115e-07,1.653745394950517e-08,0.3449940612643966,0.0679415821200242
2296.853561209086,1.7130400089105702e-07,1.3747616663838013e-08,0.4082434560170693,0.08532214122318668
2297.335711495234,1.8063667925201594e-07,1.50961751924193e-08,0.31006868559238826,0.09564902032720601
2297.817962993276,1.5982137023926204e-07,1.5442845616732565e-08,0.45013202332356556,0.14088980339483603
2298.3003157244607,1.999715599695467e-07,2.5011372616617805e-08,0.3307122702692166,0.0915384092935428
2298.782769710033,2.8914136261688014e-07,2.1820027983545083e-08,-0.18588107917605218,0.2584715865363078
2299.2653249712507,3.327508060230252e-07,3.416094340839188e-08,0.4505767610745057,0.2809061705428326
2299.747981529374,1.9899959979875874e-07,1.9476472062380605e-08,0.5847704826453792,0.09259839722455172
2300.230739405666,1.9692531262485694e-07,2.2327585233968278e-08,0.5010336284512802,0.1247922446181224
2300.713598621396,1.8107571471714817e-07,1.7711698873447974e-08,0.04021881929958026,0.15808880970765551
2301.1965591978365,1.526531048099383e-07,1.2766224171394598e-08,0.5029628856114098,0.0934232796471958
2301.6796211562646,2.251883827389664e-07,1.7557323656253513e-08,0.33169495442703356,0.07178752708493095
2302.1627845179655,2.2889004495187822e-07,2.213238274782808e-08,0.36676205339432383,0.0778578903617094
2302.64604930422,1.694527120447429e-07,1.728189570140012e-08,0.27354857503175656,0.09287244004198272
2303.129415536321,2.1393541134509837e-07,1.399846379536617e-08,0.35636939940826867,0.09155804563793377
2303.6128832355653,2.0545497396013428e-07,1.8925186491869163e-08,0.5852042788241635,0.08120587276344483
2304.096452423251,1.5694123429712278e-07,1.0593509751955707e-08,0.539699732585616,0.07196738901257167
2304.580123120683,1.6200507112947073e-07,8.851149440426163e-09,0.341680443729338,0.07743302873570221
2305.06389534917,1.4630509537762387e-07,1.6058205171413733e-08,0.48393653896769057,0.09620861021787457
2305.5477691300275,1.390566398146909e-07,1.4854714610936327e-08,0.33740230382663106,0.06434383132273033
2306.031744484568,1.4753426340357716e-07,2.282667422333345e-08,0.25529491722055453,0.13775780574289104
2306.5158214341172,1.7987209696284005e-07,1.8314650875993606e-08,0.368024636717489,0.11288425451274656
2307.0,1.8788979943000536e-07,2.092835787890721e-08,0.20646255324376586,0.07486795686144268
